title,price,image_url
 Bioiberica Dermoscent Spot-on 4 unidades - 1-10 kg,24.89 €,https://www.petsonic.com/25389-large_default/bioiberica-dermoscent-spot-on-4-unidades-para-perros-gatos.jpg
 Bioiberica Dermoscent Spot-on 4 unidades - 10-20 kg,28.89 €,https://www.petsonic.com/25389-large_default/bioiberica-dermoscent-spot-on-4-unidades-para-perros-gatos.jpg
 Bioiberica Dermoscent Spot-on 4 unidades - 20-40 kg,30.89 €,https://www.petsonic.com/25389-large_default/bioiberica-dermoscent-spot-on-4-unidades-para-perros-gatos.jpg
 Atopivet para perros atópicos - 60 u.,22.50 €,https://www.petsonic.com/36217-large_default/atopivet-para-perros-atopicos.jpg
 Atopivet para perros atópicos - 180 u.,48.50 €,https://www.petsonic.com/36217-large_default/atopivet-para-perros-atopicos.jpg
 Dechra Suplemento Dermatológico Redonyl Ultra para Perro 60 capsulas - 50 mg - Perros y gatos,29.99 €,https://www.petsonic.com/36887-large_default/suplemento-dermatologico-redonyl-ultra-para-perro.jpg
 Dechra Suplemento Dermatológico Redonyl Ultra para Perro 60 capsulas - 150 mg - Perros,42.99 €,https://www.petsonic.com/36887-large_default/suplemento-dermatologico-redonyl-ultra-para-perro.jpg
 Bayer Antialérgico Vetriderm para Propietarios de Mascotas - 0.350 L,26.95 €,https://www.petsonic.com/28997-large_default/bayer-antialergico-vetriderm-para-propietarios-mascotas-para-perros.jpg
 Dermoscent Bio Balm - 50 ml,16.49 €,https://www.petsonic.com/18174-large_default/dermoscent-bio-balm-para-perros.jpg
 vetplus Coatex 240 comprimidos - 240 u.,68.99 €,https://www.petsonic.com/14226-large_default/vetplus-coatex-para-perros-gatos.jpg
 Stangest MSM para Perro y Gato - 60 u.,17.99 €,https://www.petsonic.com/15662-large_default/msm-para-perro-gato.jpg
 Fatro Vetramil Pomada Cicatrizante para Perro y Gato - 30 Gr.,19.99 €,https://www.petsonic.com/36845-large_default/vetramil-pomada-cicatrizante-para-perro-gato.jpg
 Fatro Vetramil Pomada Cicatrizante para Perro y Gato - 180 Gr,69.89 €,https://www.petsonic.com/36845-large_default/vetramil-pomada-cicatrizante-para-perro-gato.jpg
 farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato - 60 u.,19.95 €,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg
 farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato - 360 u.,104.95 €,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg
 Stangest Dermovital en Gotas para Perro y Gato - 15 ml,7.95 €,https://www.petsonic.com/28840-large_default/dermovital-gotas-para-perro-gato.jpg
 Stangest Dermovital Omega 3-6-9 para Perro y Gato - 60 u.,14.95 €,https://www.petsonic.com/28836-large_default/dermovital-bote-omega-3-6-9-para-perro.jpg
